10		2000
20		2500
30		3100
40		4800
50		4400
60		6600
70		5500
80		6100
90		6700
100		7000
110		7600
120		8200
130		8900
140		9400
150		10000
160		10600
170		11700
180		11900
190		12500
200		13000
210		13700
220		14200
230		14700
240		15300
250		15900
260		16700
270		17300
280		17900
290		18500
300		18800
310		19600
320		20300
330		20700
340		36900
350		22100
360		22800
370		23400
380		23800
390		24400
400		25100
410		25600
420		27800
430		27900
440		27700
450		27900
460		28500
470		29200
480		30000
490		30600
500		30600
510		31400
520		32100
530		32600
540		33100
550		33800
560		34300
570		35000
580		35400
590		36300
600		37100
610		37200
620		38000
630		38400
640		39100
650		39700
660		40400
670		41100
680		42100
690		42300
700		42600
710		43200
720		43600
730		44300
740		45000
750		45700
760		46100
770		46800
780		47400
790		48100
800		48500
810		48900
820		57600
830		51100
840		51100
850		51500
860		52100
870		52800
880		53600
890		55600
900		55300
910		55200
920		56600
930		56500
940		57000
950		57700
960		59000
970		59600
980		59400
990		60500
1000		59300
1010		58400
1020		58900
1030		59500
1040		60500
1050		60800
1060		61400
1070		61900
1080		62600
1090		63200
1100		63800
1110		64400
1120		65200
1130		65600
1140		66200
1150		75400
1160		67500
1170		68000
1180		68800
1190		69400
1200		69900
1210		75600
1220		71300
1230		71900
1240		72600
1250		73100
1260		75400
1270		74300
1280		74800
1290		75400
1300		76000
1310		76800
1320		77300
1330		77900
1340		78400
1350		79200
1360		79800
1370		80200
1380		81000
1390		81700
1400		82100
1410		82900
1420		83400
1430		83900
1440		84500
1450		85100
1460		85800
1470		86400
1480		87000
1490		87700
1500		88100
1510		89000
1520		89300
1530		90100
1540		90900
1550		91500
1560		92000
1570		92700
1580		93200
1590		93800
1600		94400
1610		95000
1620		95700
1630		96200
1640		97000
1650		97400
1660		98100
1670		99000
1680		99400
1690		100000
1700		100600
1710		101200
1720		101800
1730		102400
1740		103100
1750		103600
1760		104300
1770		105000
1780		105600
1790		106300
1800		106700
1810		107400
1820		108000
1830		108500
1840		109200
1850		109900
1860		110600
1870		111300
1880		111800
1890		112500
1900		112900
1910		113500
1920		114300
1930		114500
1940		115300
1950		115700
1960		116500
1970		117000
1980		117800
1990		118600
2000		117000
2010		117400
2020		118200
2030		120200
2040		119600
2050		120200
2060		120800
2070		121400
2080		121900
2090		122700
2100		123000
2110		123800
