       9	19100
      19	18400
      29	18900
      39	19300
      49	19900
      59	19800
      69	21200
      79	33300
      89	21100
      99	21500
     109	21500
     119	23000
     129	23000
     139	23500
     149	24100
     159	24400
     169	25800
     179	25700
     189	27500
     199	27600
     209	40700
     219	26500
     229	27500
     239	28100
     249	27900
     259	28800
     269	29200
     279	30200
     289	30200
     299	44100
     309	30400
     319	31000
     329	31200
     339	42600
     349	33000
     359	41200
     369	33100
     379	33900
     389	34600
     399	35500
     409	34300
     419	34100
     429	34600
     439	35200
     449	36200
     459	36200
     469	37200
     479	38100
     489	38000
     499	38900
     509	37900
     519	38500
     529	39000
     539	40200
     549	39400
     559	40600
     569	40800
     579	41800
     589	42100
     599	42600
     609	41600
     619	42600
     629	42800
     639	43500
     649	44100
     659	44200
     669	44800
     679	45500
     689	46800
     699	46900
     709	45700
     719	46900
     729	47500
     739	47500
     749	48800
     759	48200
     769	49000
     779	49200
     789	50000
     799	50000
     809	49900
     819	50600
     829	50800
     839	51100
     849	51700
     859	52200
     869	53200
     879	53000
     889	54300
     899	54300
     909	54500
     919	54700
     929	54800
     939	55100
     949	55900
     959	56000
     969	56500
     979	57200
     989	58200
     999	58000
    1009	59000
    1019	59900
    1029	60700
    1039	60500
    1049	61600
    1059	62100
    1069	62500
    1079	64500
    1089	65200
    1099	65500
    1109	64500
    1119	65000
    1129	66300
    1139	66500
    1149	66700
    1159	68200
    1169	67800
    1179	68800
    1189	69300
    1199	71800
    1209	71100
    1219	70000
    1229	72700
    1239	72700
    1249	72600
    1259	74000
    1269	73600
    1279	74200
    1289	75100
    1299	75400
    1309	75000
    1319	75500
    1329	76600
    1339	76800
    1349	76900
    1359	78200
    1369	79100
    1379	79400
    1389	80200
    1399	81000
    1409	80900
    1419	81100
    1429	80800
    1439	82300
    1449	83200
    1459	83700
    1469	83800
    1479	86600
    1489	85600
    1499	87500
    1509	86300
    1519	86600
    1529	87400
    1539	87500
    1549	88300
    1559	88700
    1569	89200
    1579	90100
    1589	90500
    1599	91200
    1609	92100
    1619	91700
    1629	91600
    1639	92800
    1649	94200
    1659	94800
    1669	94900
    1679	95300
    1689	96000
    1699	96500
    1709	95700
    1719	98100
    1729	97200
    1739	98100
    1749	98700
    1759	99300
    1769	99300
    1779	100500
    1789	102600
    1799	102200
    1809	101400
    1819	102300
    1829	103500
    1839	104900
    1849	104300
    1859	106800
    1869	106000
    1879	105600
    1889	106200
    1899	107300
    1909	106800
    1919	107900
    1929	109300
    1939	109300
    1949	109600
    1959	111300
    1969	110900
    1979	111400
    1989	118900
    1999	112800
    2009	98500
    2019	98400
    2029	99900
    2039	100100
    2049	116200
    2059	101800
    2069	102600
    2079	103000
    2089	103200
    2099	104500
    2109	104000
    2119	104300
    2129	104900
    2139	105500
    2149	133400
    2159	107800
    2169	106400
    2179	107700
    2189	109000
    2199	111400
    2209	109100
    2219	109800
    2229	110600
    2239	111100
    2249	111700
    2259	112100
    2269	113100
    2279	113700
    2289	114400
    2299	115000
    2309	113600
    2319	120000
    2329	115500
    2339	116900
    2349	116800
    2359	117400
    2369	117400
    2379	119100
    2389	120100
    2399	119700
    2409	119600
    2419	120400
    2429	120700
    2439	121500
    2449	122100
    2459	122600
    2469	136100
    2479	124400
    2489	125200
    2499	125400
    2509	125100
    2519	124900
    2529	125200
    2539	127800
    2549	127400
    2559	129200
    2569	158300
    2579	130600
    2589	129500
    2599	130600
    2609	130000
    2619	137600
    2629	131700
    2639	131500
    2649	132600
    2659	142000
    2669	135500
    2679	147500
    2689	135100
    2699	135500
    2709	137100
    2719	136500
    2729	137700
    2739	137200
    2749	138600
    2759	139000
    2769	139500
    2779	139200
    2789	140400
    2799	141600
    2809	141200
    2819	143300
    2829	142100
    2839	144300
    2849	143400
    2859	145100
    2869	144300
    2879	147500
    2889	146200
    2899	146600
    2909	145700
    2919	146700
    2929	146200
    2939	147900
    2949	148900
    2959	148800
    2969	150200
    2979	156900
    2989	150900
    2999	151700
    3009	138100
    3019	144300
    3029	146500
    3039	138500
    3049	142900
    3059	141000
    3069	140500
    3079	142100
    3089	142700
    3099	142300
    3109	142800
    3119	150000
    3129	146100
    3139	145400
    3149	144600
    3159	146200
    3169	147000
    3179	158000
    3189	148100
    3199	149600
    3209	149400
    3219	147800
    3229	149800
    3239	149700
    3249	150600
    3259	151600
    3269	151900
    3279	152800
    3289	153600
    3299	155500
    3309	155500
    3319	154200
    3329	155100
    3339	155600
    3349	157500
    3359	157100
    3369	160400
    3379	158400
    3389	160500
    3399	161000
    3409	158700
    3419	159100
    3429	168300
    3439	160300
    3449	160900
    3459	161800
    3469	164600
    3479	162100
    3489	164200
    3499	164800
    3509	163900
    3519	164900
    3529	165400
    3539	166300
    3549	201100
    3559	167700
    3569	174700
    3579	168000
    3589	171500
    3599	169700
    3609	168500
    3619	169800
    3629	170100
    3639	170600
    3649	177800
    3659	172700
    3669	172900
    3679	173300
    3689	174500
    3699	175000
    3709	174500
    3719	174800
    3729	175500
    3739	189600
    3749	175600
    3759	176600
    3769	178300
    3779	181200
    3789	179800
    3799	187300
    3809	198200
    3819	182700
    3829	181500
    3839	181400
    3849	182600
    3859	182900
    3869	182500
    3879	184100
    3889	185100
    3899	185800
    3909	185000
    3919	187600
    3929	186400
    3939	187300
    3949	187600
    3959	189500
    3969	189100
    3979	188500
    3989	189900
    3999	190900
    4009	176600
    4019	177400
    4029	178500
    4039	177800
    4049	179100
    4059	179600
    4069	183400
    4079	181500
    4089	190500
    4099	184600
    4109	181200
    4119	183600
    4129	183300
    4139	184500
    4149	184500
    4159	185300
    4169	204000
    4179	186100
    4189	187500
    4199	190600
    4209	185700
    4219	188100
    4229	188100
    4239	190300
    4249	189900
    4259	194000
    4269	191200
    4279	193100
    4289	191900
    4299	193000
    4309	194600
    4319	193000
    4329	193100
    4339	194700
    4349	193600
    4359	195500
    4369	199500
    4379	196700
    4389	197900
    4399	197000
    4409	198000
    4419	201300
    4429	197400
    4439	200100
    4449	200900
    4459	204600
    4469	201800
    4479	205300
    4489	202800
    4499	203400
    4509	212600
